ucid,line_share_5km,Share_barrier_5km,water_share_5km,slope_share_5km,boundary_share_5km,water_share_10km,slope_share_10km,boundary_share_10km,line_share_10km,nonconcavity_5km,weighted_nonconcavity_5km,nonconcavity_10km,weighted_nonconcavity_10km,share_barrier_10kmfix
751,9.75E-06,0.787968791,0.213995978,0,0.580473238,0.021071323,3.18E-13,0.806371793,0.071914178,0.094916499,0.00557643,0.122676953,0.016967703,0.827
810,0.024886595,0.625141786,0.011627104,0,0.618983528,0.001539355,0,0.694459835,0.022296545,0.070965141,0.018176752,0.053303065,0.006822213,0.696
5532,0.002944697,0.569738332,0.393748739,0,0.179446716,0.005311678,0.01498917,0.679322488,0.042970376,0.042861469,0.004718773,0.049881946,0.014766459,0.7
11061,0.003169252,0.608375495,0.002432604,0,0.60594289,0.000401654,0,0.674804861,0.062783777,0.04492938,0.001318082,0.083767456,0.034072592,0.675
4264,0.054859789,0.565025967,0,0,0.565025965,0,0,0.659172247,0.095758451,0.072843671,0.025836582,0.076238901,0.045909815,0.659
9577,0.064392837,0.52821419,0.207503566,0,0.320710622,0.048841617,0,0.640005778,0.002820108,0.092087619,0.023353829,0.153590846,0.064709001,0.689
5520,0.028570476,0.442225162,0.001876821,0,0.440348347,0.000167601,0,0.639105117,0.057896722,0.063375028,0.012100843,0.03486296,0.018926903,0.639
5517,0.131317567,0.559681618,0,0.077773241,0.481908373,0,0.022986624,0.630271472,0.022193344,0.15515093,0.088357363,0.040737468,0.02676545,0.653
4557,0.00848952,0.61208316,0,0,0.61208316,0,0,0.595853523,0.019859149,0.055937826,0.005629489,0.013887265,0.00726941,0.596
4678,0,0.555919515,0,0,0.555919514,0,0,0.594828381,0.005851877,0,0,0.007322734,0.002973522,0.595
4581,0.004476258,0.640871907,0,0,0.640871906,0,0.000672206,0.593723055,0.023589499,0.049133709,0.002038423,0.016491138,0.009326383,0.594
8942,0.004380384,0.525787967,0.004451784,0,0.521336184,0.003286048,0,0.590947454,0.01022932,0.034821116,0.001626368,0.007012812,0.002941181,0.594
9583,0.033872745,0.108985845,0.011263176,0,0.097722668,0.004012976,0,0.590238893,0.019911772,0.050809589,0.018272466,0.057947381,0.031341977,0.594
4033,0.071956342,0.423204332,0.004384636,0.048934915,0.36988478,0.000218566,0.101673048,0.589099741,0.229667135,0.096928438,0.028025453,0.228559656,0.089636607,0.691
7748,0.050101242,0.617443324,0,0,0.617443321,0,0,0.582131298,0.00262999,0.087503239,0.024573627,0.058787988,0.033736425,0.582
889,0.039224556,0.600848898,0.147663193,0,0.456525104,0.070561792,0,0.577831078,0.181574573,0.068515171,0.014688372,0.168801594,0.058054262,0.648
1089,0.027325982,0.555675351,0.11710546,0,0.43856989,0.021248813,0,0.573139422,0.020420072,0.043716786,0.011412379,0.033273308,0.012104417,0.594
1085,0,0.513583187,0,0,0.513583186,0.000145106,0,0.562833653,0.002315584,0,0.000276723,0.020679518,9.61E-05,0.563
2110,0,0.457149649,0,0,0.457149651,0,0,0.558980263,0.008441904,0,0,0.00280407,0.001135433,0.559
1113,0.020809182,0.594321939,0.014126559,0,0.586164808,0.00447667,0,0.557643247,0.041602293,0.084608319,0.019222435,0.058927768,0.021451678,0.562
5949,0,0.547233512,0,0,0.547233513,0,0,0.554278437,0.039670717,0,0,0.021639704,0.010627944,0.554
812,0.025354719,0.494183075,0.147541058,0,0.350015697,0.005211416,0,0.551467533,0.012372324,0.055953937,0.021693136,0.028905871,0.007589995,0.557
11208,0.174881233,0.620193968,0.130345265,0,0.496103493,0.07734386,0,0.550739278,0.127093937,0.183614147,0.088343605,0.10570683,0.052810487,0.628
2540,0.000437524,0.452998804,0.066315308,0,0.452998801,0.053538646,0,0.550287595,0.158713476,0.107397301,0.029833389,0.139952384,0.060599941,0.604
10032,0.006544855,0.525011948,0.007519366,0,0.517492579,0.003019322,0,0.550101023,0.040410443,0.042310013,0.003289369,0.009563188,0.004158895,0.553
9612,0.015022959,0.495605475,0.005758441,0.173714726,0.317254546,0.000841502,0.002857103,0.546912368,0.080843793,0.043902913,0.008570328,0.006737787,0.003514881,0.551
5957,0,0.513617086,0,0,0.513617087,0,0,0.531584264,0.104197409,0,0,0.05800051,0.031641655,0.532
9709,0.085248669,0.617932891,0.078702044,0,0.53923085,0.03937504,0,0.528077799,0.033855733,0.119957512,0.030328626,0.138089254,0.070143129,0.567
8394,0,0.43430969,0,0,0.434309694,8.91E-11,0,0.527489667,0.002789859,0,0,0.003158356,0.000497259,0.527
3448,0.053646642,0.566055375,0.139794632,0,0.426260746,0.040614938,0,0.525672697,0.011668426,0.07031877,0.026254521,0.031446876,0.016725322,0.566
234,0.050011701,0.550807875,0.003904436,0,0.546903441,0.008731828,0,0.525498302,0.058301925,0.078453291,0.018239526,0.06316214,0.028220691,0.534
10021,0,0.482698978,0.025102843,0,0.459898445,0.001777574,0,0.521179558,0.006943184,0,0.001879013,0.013254784,0.006556957,0.523
4530,0.007191667,0.450511852,0,0,0.450511853,0,0.005880714,0.521072498,0.00903535,0.039147017,0.009158886,0.013084878,0.006935811,0.527
9570,0.089671033,0.429540673,0.070989532,0,0.358551141,0.020887136,0,0.515195045,0.006208089,0.114938412,0.046559736,0.055825814,0.030361384,0.536
2731,0,0.439977194,0,0,0.439977193,0,0,0.512983214,0.004036599,0,0,0.004435614,0.002387244,0.513
485,0.006361004,0.216229011,0,0.004082063,0.212146946,0,0.011002189,0.502798518,0.032496393,0.027309292,0.000951644,0.046694927,0.010271932,0.514
732,0.009073725,0.474262843,0.031909514,0,0.447332763,0.001552956,0,0.502213042,0.008427548,0.051765547,0.00786093,0.022842417,0.003802027,0.504
5255,0.010571189,0.453650641,0,0.007470491,0.446180149,0,0.014914044,0.4988484,0.034399874,0.032940433,0.004396516,0.031567028,0.013856056,0.514
5541,0.013448003,0.496897828,0.030021376,0,0.466876451,0.002202646,0,0.498710226,0.003767779,0.035714356,0.008375323,0.00015881,0.000112706,0.501
1958,0,0.496589908,0,0,0.496589906,0,0,0.498020312,0,0,0,0,0,0.498
11871,0.098962989,0.575259399,0.033496448,0.044342676,0.497420273,0.008454068,0.096639041,0.493897021,0.202625517,0.119586102,0.03876739,0.197040306,0.090105228,0.599
2549,0.053767132,0.689027962,0.333036838,0,0.355991124,0.232409732,0,0.492060366,0.351148892,0.085297761,0.011894528,0.270284899,0.1135936,0.724
1490,0.066974654,0.34566635,0,0,0.345666352,0,0,0.491877187,0.071990743,0.086911308,0.048702131,0.062759223,0.03392895,0.492
4497,0.385221105,0.612603277,0,0.208436888,0.404166384,0,0.111518139,0.491839098,0.277005399,0.372306762,0.179060943,0.266340556,0.137160175,0.603
5812,0,0.480680916,0,0,0.480680922,0,0,0.490325104,0,0,0,0,0,0.49
5613,0.006985044,0.533123965,0,0,0.533123968,0,0,0.489318948,0.043299215,0.051058225,0.006148712,0.029355846,0.021119889,0.489
3746,0.002109583,0.272170703,0.001842695,0,0.270328006,0.000460613,0,0.488509752,0.002120234,0.028399945,0.001486226,0.001107452,0.000691506,0.489
2942,0.006166502,0.466965758,0.007716088,0,0.459249669,0.000779585,0,0.485056645,0.003353451,0.026977604,0.004898689,0.003117282,0.002084224,0.486
11815,0.036515592,0.507931593,0.324496877,0,0.183434718,0.031231524,0,0.480619008,0.219708294,0.067941862,0.014284665,0.143961505,0.093177124,0.512
5396,0.021241556,0.433437317,0.320688488,0.011692318,0.101056509,0,0.010365512,0.47804713,0.029940744,0.045334022,0.006967533,0.029355218,0.014583005,0.488
955,0.020405128,0.501044479,0.000582207,0,0.500462272,0.000145533,0.010445077,0.477412954,0.044461557,0.050640396,0.009580655,0.052123332,0.019423166,0.488
4803,0,0.448233684,0.00050456,0,0.448233684,0.000252299,0,0.473976332,0.000734057,0,0.000647919,0.000664085,0.000383465,0.474
8442,0.001639571,0.447585487,0,0,0.447585491,0,0,0.473912014,0.017953286,0.028951271,0,0,0,0.474
2392,0.037205666,0.230667778,0.039784944,0.005087892,0.19687763,0.010859465,0.001689243,0.47317028,0.074134733,0.077772743,0.032571842,0.071750472,0.040789777,0.486
3507,0.008388628,0.46937696,0,0,0.469376957,0,0,0.472547371,0.005544965,0.029544602,0.000503235,0.005551969,0.003693833,0.473
4137,0.021332102,0.400074472,0,0,0.400074473,0,0,0.470555288,0.009956403,0.031236792,0.000760292,0.006896649,0.00468019,0.471
10431,0.126144718,0.265206236,0.003632253,0.068309068,0.193264916,0.000453971,0.050923014,0.470400138,0.006533292,0.136737575,0.058316131,0.132033555,0.066265375,0.522
1513,0.200122592,0.451087887,0,0,0.451087889,0,0,0.469656066,0.181219422,0.154646081,0.078787259,0.134127536,0.088120335,0.47
5324,0.12027771,0.214015434,0,0.081502901,0.132512533,0,0.026828683,0.468243729,0.081614233,0.128134736,0.065178011,0.070596395,0.046871612,0.495
4432,0.022225094,0.37701319,0,0,0.37701319,0,0,0.465114121,0.003316374,0.036310755,0.017534265,0.003513919,0.003979724,0.465
9223,0.003871348,0.232096344,0.008232861,0,0.223863484,0.003617598,0,0.464481007,0.227425294,0.024245,0.0022192,0.017861227,0.008026252,0.468
11044,0.060965997,0.475335665,0,0.04931156,0.426024105,0,0.026634891,0.463141554,0.041696197,0.088935419,0.021893632,0.062788849,0.03187829,0.49
1118,0.000930482,0.432234878,0.06100503,0,0.379188735,0.032226008,0,0.46296237,0.041200684,0.046621974,0.009851366,0.057981661,0.018030845,0.495
776,0.011954573,0.419804722,0,0,0.419804721,0.000147914,0.003708571,0.462406486,0.018445868,0.032840051,0.001607782,0.03194778,0.009937774,0.466
10403,0.01885594,0.479580159,0,1.27E-12,0.479580162,0,0.004306763,0.461034745,0.459687403,0.050163276,0.014920039,0.060046821,0.037122785,0.465
6128,0.011924816,0.4021436,0,0,0.402143601,0,0.000174519,0.458991488,0.000306825,0.027260754,0.00509786,0.002685453,0.002095235,0.459
