ucid,BVALL,BVNR
1,362024337,54536030
2,45772403,3570580
3,98465276,14215930
4,73326970,10950971
5,113599198,18494133
6,94913018,15478261
7,104972004,26935954
8,254457108,58064714
9,37325696,8817195
10,3900622500,878540821
11,82353918,10555783
12,182399749,27725852
13,103945621,15853695
14,14266297797,3293186782
15,58483533,10964260
16,101301129,12045677
17,152585781,23664877
18,724964829,133486657
19,38459885,3628654
20,188946417,5997332
21,3709813228,532890067
22,95445813,27081212
23,9065784,333276
24,204571771,33509450
25,65608359,6463505
26,224420506,31613787
27,76352105,7776866
28,90773806,19792008
29,672625362,131772866
30,64956353,7018248
31,31203622,2053548
32,207670127,21367290
33,62518473,8760659
34,382018176,104581468
35,362592286,65106578
36,73065028,12132847
37,242472679,29883648
38,52899085,4918390
39,71685439,12925421
40,47795892,9695397
41,33775793,5909067
42,60315243,10481827
43,55716578,1209753
44,45743412,3792807
45,136164935,20210574
46,777709145,148659747
47,57411801,17885900
48,143803135,17111896
49,1516479394,237234042
50,123100797,7191849
51,49377698,4590858
52,140421602,1014966
53,52056391,914647
54,59321619,3321561
55,52851776,6719689
56,480689222,35100817
57,309589123,20802568
58,87701789,9654655
59,90206176,1805520
60,76553499,9186819
61,17268084,95641
62,48715234,1238651
63,109404671,4082846
64,37634598,870360
65,350052142,17550583
66,137232157,2335378
67,292330058,87303275
68,53759369,1019775
69,122391317,22284168
70,37016155,34576
71,33996807,66200
72,150235476,8734557
73,294771009,3343973
74,2102296393,399809469
75,158013535,7474274
76,92888232,2088176
77,71062631,11296565
78,184126787,17954639
79,4730657477,783818955
80,28869458,242573
81,145194786,5207813
82,275605998,57313332
83,112993532,3393744
84,841074114,124923693
85,31269724,1000769
86,33207632,102506
87,64522602,2458795
88,1694834489,93144113
89,15468166,1323097
90,217920802,39575756
91,23621745,455486
92,34618700,1539095
93,217266926,9514798
94,52079317,355184
95,28089242,452254
96,35066321,730057
97,70476549,103303
98,65349080,7586703
99,28324463,34927
100,28658152,406821
101,1943259033,338245619
102,19225416,208996
103,34475238,964575
104,53184346,118656
105,37622735,1121466
106,116022064,2895603
107,18401620,0
108,39622020,372386
109,23954381,100129
110,22397937,433748
111,525234026,44156734
112,322463484,16739468
113,59905395,950008
114,55149030,2255568
115,121941460,1874980
116,280790716,7839669
117,62448507,2836786
118,39110650,748540
119,484250625,26396655
120,42179763,1214288
121,134880434,5528810
122,404588692,4519879
123,25029219,533740
124,26894310,335777
125,77570677,9991869
126,513746317,40260446
127,66449809,974477
128,20573647,936668
129,22876051,125881
130,17934326,84296
131,26766571,31214
132,145226492,10697684
133,105111970,16106584
134,34449593,107812
135,26078380,364868
136,94200300,330238
137,36438099,439375
138,17044955,235818
139,449359099,34559355
140,2965995058,585950517
141,44439607,777522
142,14177690,78016
143,1570782741,238674089
144,433200280,39838254
145,166979942,14502400
146,731338888,94685370
147,87318698,17118360
148,25485749,456627
149,97834538,7824641
150,71056489,7963277
151,43501228,1654364
152,23428386,284424
153,493626602,13307262
154,5917834658,410149084
155,26742404,93724
156,98683840,2198144
157,31212532,552800
158,14641047,956693
159,45288663,174774
160,197068075,8660937
161,20486013,1519700
162,111650218,26518808
163,23813902,169490
164,30484577,833678
165,17615328,138593
166,101576516,19095124
167,22892981,35723
168,108774336,3684843
169,38970314,324360
170,38521213,2511360
171,425314998,71990473
172,30693056,721657
173,83294991,11222135
174,34540125,976661
175,176691659,8096916
176,59752800,5708537
177,1068628554,69320215
178,303869015,26693762
179,33789640,220060
180,139898515,4247191
181,83462793,4518041
182,133061430,17701221
183,64493967,11641175
184,26435006,2615134
185,40452585,1721410
186,52145302,779175
187,1625247753,302681205
188,154360125,17906529
189,62290804,1904627
190,74819351,15495156
191,20835303,30129
192,243176110,37792280
193,955726158,163014861
194,75056947,5759717
195,25237692,261200
196,863245686,118538756
197,115154359,3736529
198,23204574,229722
199,88613923,16980205
200,1657781150,270581118
201,41534162,20452
202,330316484,5478750
203,79620029,14552925
204,61390387,9081149
205,97788418,25001533
206,306527804,41208562
207,124239329,7387630
208,142627512,743715
209,24959908,587342
210,12373603,356319
211,43378275,2615667
212,1999561,115
213,18528329,1093775
214,106384442,3599781
215,120208761,4325843
216,20139670,387249
217,43612805,834843
218,253544107,11861306
219,51000543,391906
220,30759725,2381060
221,230305723,13474379
222,48022224,4748450
223,23801869,381168
224,40404155,3266500
225,309709422,19330648
226,11992285,66233
227,27226566,5635
228,66372229,704368
229,125378581,22762023
230,67134451,2668788
231,89789315,4725360
232,35697872,395774
233,131186784,37033273
234,306875962,29662275
235,130376424,28833386
236,23441861,31674
237,270766262,22577011
238,32922068,59132
239,218461706,28718749
240,38039909,1996751
241,396958540,65916322
242,75633666,12586544
243,89399151,9482180
244,143228820,13676462
245,179733987,11656205
246,108965139,12111588
247,270118189,62492706
248,77722239,12369238
249,286771127,8800321
250,1257027417,215527918
251,35074219,1130267
252,119509067,3202981
253,232339294,49935183
254,80022861,3080523
255,170585111,16824300
256,10199337,161326
257,142814561,33146806
258,4627224,1089
259,17207254,156864
260,198643518,34626559
261,35853392,149272
262,57728736,1303080
263,17462197,320650
264,116621056,21973978
265,401172398,63066544
266,16260325,65896
267,21080622,436077
268,105458350,1209544
269,32013799,34436
270,7763734,5057
271,12049818,105768
272,2468641550,529427422
273,866033016,157817455
274,7352401,128655
275,11922533,517733
276,16711607,54125
277,102594850,24435785
278,10426378,168009
279,7498896,305312
280,5907320,0
281,7141315,35136
282,38474091,2662716
283,33556209,1601955
284,89291985,13683482
285,22589112,352494
286,4851492,0
287,4571437,0
288,987582676,69001529
289,154441880,14885213
290,67566922,2121457
291,14197401,14959
292,67855639,7311921
293,3725853,3014
294,46303055,2537407
295,134391481,24890692
296,3869252,84936
297,7452880,0
298,4619970,20253
299,92054955,13289832
300,9904149,0
301,33039202,116318
302,4154909,34448
303,9733356,88014
304,2340043,4493
305,21393340,93757
306,17037622,51412
307,11080767,62048
308,36723877,621238
309,112393005,29789885
310,14294378,239103
311,53404128,996105
312,61772844,8368565
313,4490334,1069
314,99310718,15554552
315,4351525027,1036420942
316,51741227,3752684
317,1928635,0
318,130118980,28114778
319,4749775,0
320,3023607,0
321,628378007,35147864
322,19641315,1770215
323,5192237287,1417808481
324,3555130,170513
325,29961742,622739
326,14565513,234928
327,5607365,0
328,68552229,8599050
329,131310581,5589993
330,13514841,0
331,41168344,4270736
332,59700138,5313119
333,99214154,24244029
334,20976782,110346
335,17011206,13626
336,8216867,100445
337,109833906,26975918
338,57951498,1417330
339,78263642,7883540
340,22451265,745702
341,20318052,108316
342,162869308,40673891
343,24971476,422178
344,188055946,53500247
345,312996677,17920604
346,25010332,1342898
347,84855085,18217279
348,62775587,10486958
349,760755668,176505989
350,461252163,13594960
351,28482368,605778
352,24362502,2854976
353,36042788,582266
354,8201775,42833
355,20278228,575061
356,92000917,13671193
357,32954178,271809
358,24945523,1670455
359,456514459,16688511
360,38203168,979498
361,42887004,3964200
362,774704303,179596254
363,58726316,1695805
364,99519190,23720887
365,23414009,2377088
366,98545174,13701636
367,387422994,21036305
368,12656273,53017
369,21433533,316144
370,37134645,696457
371,27693425,480772
372,17914394,2585142
373,48830989,1197124
374,24986988,604783
375,21537090,691364
376,11760619,261265
377,26748297,313336
378,15468677,71815
379,248971218,53440891
380,2557849,0
381,2393229,0
382,57582287,5252112
383,372438773,82627625
384,18831901,37345
385,626422882,130155813
386,149018785,31155610
387,20439413,2196634
388,1250548,0
389,83334565,16161620
390,43111592,3008715
391,17379334,190447
392,854628710,73055038
393,2568971,26238
394,176841947,20551054
395,124610315,25830490
396,79954582,18207257
397,416021287,120084340
398,86461568,4401354
399,8710229,158980
400,860818720,156151065
401,70372136,22622389
402,69387574,17467890
403,847794155,244953174
404,55997137,1754213
405,119559586,25647619
406,12409989,232922
407,257028802,64080600
408,77596526,17125183
409,277976707,77920242
410,110258631,18782163
411,1477899376,326761311
412,16413698,1483675
413,200158585,51032150
414,111431135,1789033
415,20846550,1225082
416,132256636,7379811
417,758787022,154653617
418,38282671,203716
419,6954961,261791
420,83948935,2536484
421,111734515,3822103
422,31183681,34621
423,160434135,42177215
424,38579908,288389
425,5794436,195695
426,15689588,174659
427,914437788,49649598
428,8063285,11167
429,11170473,117416
430,78560795,233075
431,7467593,10768
432,92150944,16646556
433,32700503,5989658
434,7715015,136241
435,15984469,63900
436,267149673,38852769
437,26091712,1491173
438,11878916,53674
439,65066468,12020723
440,50895304,1713575
441,14246377,3575
442,110220813,2756694
443,744380306,176141394
444,18231508,231044
445,25750113,17219
446,13706283,161165
447,59976426,510935
448,137813338,26047306
449,138990323,27555798
450,119603885,12123920
451,81867117,21241473
452,75123717,1769810
453,112719494,5340975
454,87684308,4300858
455,62678098,1525757
456,176526100,7762200
457,180463170,45732592
458,481521447,41699087
459,10530373,115494
460,56279328,1566913
461,6729393,23402
462,178969563,27857806
463,60451457,4343987
464,77293806,3042429
465,45553878,1796162
466,168803608,3959583
467,1096405541,67917779
468,18046524,292375
469,129871759,16275355
470,3690565,39850
471,83491560,24755871
472,62449567,2327076
473,480529232,69623221
474,501743819,122112491
475,18374409,461611
476,2789102,886340
477,3319966,39527
478,44371151,1349653
479,49428087,4000156
480,80828566,2375945
481,51675227,16685982
482,245320367,43448072
483,235218325,26350952
484,159541581,15962889
485,21647221,2026657
486,413709806,124394345
487,1512459621,313472024
488,22954426,41081
489,6775328,40384
490,37893535,3864768
491,65286013,6305800
492,80159064,8186595
493,76847568,23299076
494,10535676,140475
495,2529119,0
496,27336147,329276
497,19826298,432749
498,31702528,247223
499,5441540,10795
500,917730900,87532825
501,2663476840,351669548
502,159560725,41940799
503,34394974,6098319
504,14826606,203269
505,12060080,438222
506,69396426,2107375
507,435800204,44105054
508,127564952,12202207
509,231261259,33457391
510,185780851,50843203
511,8448720,36761
512,561218969,27617509
513,115690225,22493774
514,12333080,228033
515,22231263,77087
516,12784062,76252
517,79570874,22761404
518,203421314,52383290
519,115778057,2542298
520,6324564,70202
521,7010650,7814
522,4580144,70337
523,54995297,9869617
524,55942259,2062117
525,167373143,44950029
526,22238160,1727776
527,12806870,171878
528,2289363423,143856552
529,7218,0
530,437216547,115574158
531,29722069,632659
532,40842971,1052100
533,14810603,1163475
534,117060406,16212835
535,77943136,15113877
536,18022034,24902
537,22804843,3877633
538,5010461,99900
539,7538278,195111
540,27278399,1624319
541,306314733,57038391
542,147928271,4348704
543,8913397,414626
544,42726218,663320
545,183076643,39837971
546,6947075,43315
547,59762860,4730373
548,106515250,9046901
549,40719103,915546
550,156467417,51420175
551,90038388,24536460
552,6899773,593841
553,258687185,56343877
554,1909495823,369465850
555,12488077,35664
556,5710485716,747463794
557,50314139,2254932
558,15745328,101935
559,2093396556,593112772
560,14474509,0
561,853572638,44124987
562,8445355,258587
563,59544116,1902724
564,87226501,27085098
565,108792782,4290491
566,86706723,11889728
567,103617605,31731784
568,1503684700,240690952
569,26589242,3279661
570,81115229,2406013
571,9556513,80806
572,11031643,13385
573,45843528,1162084
574,20781555,2725088
575,86559245,4979082
576,115277311,26250529
577,255407925,43560488
578,64846612,13506591
579,8122549,49903
580,101492833,19782875
581,12451597,0
582,24470500,660358
583,107411844,2562114
584,10180148,129572
585,35315799,497603
586,225398312,33513292
587,51958230,2217649
588,137756612,34558302
589,13925090,544436
590,86021945,8731510
591,181574735,3681501
592,13089715,174407
593,4633442,158884
594,414001205,43802182
595,687892040,142918475
596,169593469,16578115
597,11761576,23405
598,31685438,1908173
599,10587231,39303
600,356162095,20486213
601,92881115,11948022
602,5969644,0
603,8108783,6390
604,75136754,7035745
605,110448122,2441792
606,250120151,24312423
607,83205600,20916947
608,9210117,54658
609,16588095,219461
610,72383233,7914730
611,6980415,253731
612,2210720,232482
613,1925468,130106
614,292773,0
615,24669931,130605
616,72523732,892802
617,16627551,1377837
618,15471601,275848
619,16340665,1024091
620,11627132,0
621,1454377498,122617139
622,110414677,1344926
623,11559090,5247
624,1148061181,205698954
625,448427153,114350074
626,358750794,22390643
627,74452512,18889892
628,269310275,52599872
629,55424851,6386570
630,10363798,1803196
631,19472994,970671
632,33571225,4538278
633,829006,0
634,6834896284,1689732176
635,236706519,49056852
636,73418568,17756669
637,267422060,82990937
638,11272493,59397
639,22394359,2767119
640,137537587,30131269
641,9084513,132701
642,10054914,100048
643,85381591,18575356
644,117487601,37063188
645,52966806,6817930
646,69544656,1878192
647,16542390,406997
648,135683381,28287577
649,10788902,6549
650,128092002,40176035
651,1486658225,287725104
652,133305411,19859320
653,16678991,842577
654,100943153,5388576
655,8919636,673698
656,257810067,81506842
657,629240,3751
658,61636523,8580052
659,42640486,2687484
660,8325060,151700
661,11323851,965987
662,277764034,58774897
663,65101494,948450
664,111847957,15602617
665,364700642,56707230
666,3875432,553
667,35279519,914680
668,78288792,16742243
669,120332672,12811182
670,201684033,10232011
671,28661870,468347
672,17189325,407793
673,21816973,411320
674,104179919,23972373
675,1190458045,292392854
676,6931739,80977
677,123525432,28878692
678,100582583,3215636
679,128254445,34572578
680,32002448,2080967
681,1088105868,283025065
682,25035691,80664
683,12588282,84201
684,68950625,11564264
685,87644509,8390405
686,244586890,44343082
687,36649898,1841151
688,85206984,19231765
689,220758235,19401912
690,13218847,127889
691,55179159,1787116
692,39620108,1143215
693,212576489,49591334
694,313205257,83846785
695,21291882,33864
696,22149697,381736
697,110135035,8128034
698,160202400,47647210
699,13957142,0
700,135577431,47837339
701,9875807,252010
702,482669900,69424398
703,24479043,171036
704,20652858,0
705,3715292,181951
706,4023947,0
707,475257658,143823854
708,2648293,12299
709,265592860,75461150
710,16445733,999338
711,230153287,71820376
712,28041731,80031
713,15436342,0
714,3938909,4159
715,30232638,167762
716,14627675,531329
717,80685066,25700887
718,142531560,30602859
719,759911997,44090339
720,442845,41543
721,11623374,20788
