ucid,sdp_5km,sld_5km,detour_5km
1,8.089127747,4.391629118,0.84194237
2,6.950210815,3.664673484,0.896542992
3,7.27281255,4.60444426,0.579520164
4,6.929080512,4.23554597,0.635935618
5,6.252063346,4.147759334,0.507335128
6,5.974587341,3.609493853,0.65524242
7,6.608160037,4.559117751,0.449438334
8,6.934208152,4.559945279,0.520677931
9,6.773141898,4.361109371,0.553077743
10,6.343516654,4.451770513,0.424942421
11,7.986333084,4.64384019,0.719769147
12,8.975814157,4.748098231,0.89040195
13,7.451073064,4.39800519,0.694193786
14,7.694924113,4.502188971,0.70915174
15,6.924908889,4.576348841,0.513195154
16,7.302224351,4.609440265,0.584188954
17,6.857531136,4.724979931,0.451335505
18,7.202968414,4.508576291,0.597614846
19,6.981794282,4.004323262,0.743564099
20,6.51438951,4.324115506,0.506525323
21,9.286189076,4.568615899,1.032604465
22,6.924742559,4.673991041,0.481548103
23,8.665131286,4.612132229,0.87876905
24,7.645413583,4.697167651,0.627664617
25,7.04793293,4.633706108,0.52101423
26,6.595087875,4.522235973,0.458368806
27,7.694582534,4.689450191,0.640828289
28,6.993891935,4.680420368,0.494287133
29,6.688567728,4.590011198,0.457200743
30,7.498336205,4.702460964,0.594555757
31,7.359610052,4.051513054,0.816509031
32,6.96431975,4.631480987,0.50369175
33,6.883017753,4.662578816,0.476225502
34,6.795432222,4.520889313,0.503118469
35,6.550543608,4.578823428,0.430617212
36,6.508295468,4.575568281,0.422401562
37,7.881307903,4.739682058,0.662834723
38,6.268104707,4.557032881,0.375479368
39,7.024716092,4.674827129,0.502668633
40,7.488033283,4.551423665,0.645206826
41,7.342557778,4.639504846,0.582616685
42,6.698828352,4.620436751,0.449825788
43,7.024447191,4.545471439,0.545372638
44,6.400215218,4.457143659,0.435945464
45,6.710119376,4.564998681,0.469906093
46,6.330891348,4.63437391,0.366072628
47,6.505063408,4.494460864,0.447351218
48,6.391826017,4.578795664,0.395962276
49,6.823855793,4.599585932,0.483580456
50,6.333775106,4.459458689,0.42030133
51,7.073884153,4.792849793,0.475924441
52,6.314978901,4.405721773,0.433358534
53,7.78290753,4.57588262,0.700853841
54,6.859996904,4.683242565,0.464796412
55,7.038899526,4.588275949,0.534105534
56,6.916325805,4.544559164,0.521891465
57,6.193442434,4.340778999,0.426804367
58,6.545576049,4.600683687,0.422739856
59,6.248495231,4.227419304,0.478087405
60,6.610534719,4.670606297,0.415348308
61,5.880216067,4.224704988,0.391864304
62,7.373221016,4.740030216,0.555521944
63,6.358559313,4.537920162,0.401205637
64,6.855353329,4.609261658,0.487299667
65,6.320124507,4.438385631,0.423969216
66,6.21685618,4.520893622,0.375138789
67,7.219938951,4.705728885,0.534287063
68,6.507488876,4.613622123,0.410494554
69,6.352657041,4.652288011,0.365490921
70,7.230780537,4.684376881,0.543594958
71,6.445365643,4.510673728,0.428914178
72,6.92953799,4.638384078,0.493955195
73,6.180737129,4.66315967,0.325439737
74,6.674454332,4.614733706,0.446335749
75,8.640695194,4.459332264,0.937665705
76,6.549860447,4.391412657,0.491515592
77,7.236776086,4.336627603,0.668756635
78,8.263249089,4.584523738,0.802422577
79,6.566799763,4.609168086,0.424725599
80,6.628517303,4.513365676,0.468641759
81,7.245852921,4.648022546,0.558910881
82,7.096204469,4.570553087,0.552592068
83,6.727627266,4.653498042,0.445713999
84,6.258678789,4.555514265,0.373868772
85,7.838586717,4.531205347,0.729912047
86,7.397275044,4.444352242,0.664421414
87,5.459365035,3.920386139,0.392557988
88,6.632435668,4.625568116,0.433864014
89,8.831485852,4.425704345,0.99549838
90,7.547971573,4.705782467,0.603978005
91,7.545932734,4.497263543,0.677894271
92,7.709963533,4.467910798,0.725630587
93,6.517860262,4.683677244,0.391611745
94,7.105941542,4.760432349,0.49270928
95,7.509506543,4.689427256,0.601369663
96,7.42441035,4.53221739,0.638140828
97,6.616319888,4.548264199,0.454691196
98,7.618340834,4.59390042,0.658360029
99,7.997419224,4.299340719,0.860150136
100,7.549540125,4.538162652,0.66356755
101,7.107992272,4.725863816,0.504062019
102,6.802078721,4.42973951,0.535548243
103,7.007470829,4.482902331,0.563154919
104,7.169885905,4.699048723,0.525816464
105,7.414065194,4.522492931,0.63937574
106,7.270154707,4.544696806,0.59970071
107,7.072564782,4.543555734,0.55661451
108,6.968754931,4.510402826,0.545040477
109,8.689508641,4.767951712,0.822482518
110,12.00141577,4.629109579,1.592597035
111,7.359586979,4.674072457,0.574555603
112,6.760626966,4.681663405,0.44406515
